Instance,LB,ILB,TLB,UP,IUP,TUP,GAP,ITER,TIME,OPTG,OPTS
Spd_RF2_100_114_1811,10.57,1,0,26,4,0,15.43,347662,10,0,0
Spd_RF2_100_114_1819,10.47,1,0,24,2,0,13.53,208359,10,0,0
Spd_RF2_100_114_1827,10.45,1,0,24,92,0,13.55,242367,10,0,0
Spd_RF2_100_114_1835,9.77,1,0,23,6,0,13.23,248353,10,0,0
Spd_RF2_100_114_1843,9.95,1,0,25,0,0,15.05,122193,10,0,0
Spd_RF2_100_129_1851,6.06,1,0,20,0,0,13.94,107221,10,0,0
Spd_RF2_100_129_1859,5.39,1,0,20,9,0,14.61,103222,10,0,0
Spd_RF2_100_129_1867,5.73,1,0,19,1,0,13.27,112838,10,0,0
Spd_RF2_100_129_1875,5.31,1,0,17,2,0,11.69,194509,10,0,0
Spd_RF2_100_129_1883,5.6,1,0,19,2,0,13.4,100751,10,0,0
Spd_RF2_100_144_1891,2.05,1,0,16,0,0,13.95,110423,10,0,0
Spd_RF2_100_144_1899,1.29,1,0,15,0,0,13.71,133855,10,0,0
Spd_RF2_100_144_1907,3.56,1,0,17,0,0,13.44,122772,10,0,0
Spd_RF2_100_144_1915,0.99,1,0,12,1,0,11.01,123627,10,0,0
Spd_RF2_100_144_1923,2.05,1,0,16,2,0,13.95,77014,10,0,0
Spd_RF2_100_159_1931,-1.05,1,0,12,2,0,13.05,56514,10,0,0
Spd_RF2_100_159_1939,0.36,1,0,13,6,0,12.64,67951,10,0,0
Spd_RF2_100_159_1947,-0.45,1,0,12,1,0,12.45,3770,10,0,0
Spd_RF2_100_159_1955,-1.01,1,0,11,0,0,12.01,3210,10,0,0
Spd_RF2_100_159_1963,0.05,1,0,15,114,0,14.95,4297,10,0,0
Spd_RF2_100_174_1971,-2.33,1,0,11,1639,5,13.33,3063,10,0,0
Spd_RF2_100_174_1979,-2.56,1,0,12,1,0,14.56,4128,10,0,0
Spd_RF2_100_174_1987,-1.84,1,0,13,5937,0,14.84,92778,10,0,0
Spd_RF2_100_174_1995,-2.29,1,0,12,1,0,14.29,70281,10,0,0
Spd_RF2_100_174_2003,-3.07,1,0,11,633,0,14.07,102557,10,0,0
Spd_RF2_120_136_2211,12.67,1,0,31,0,0,18.33,101791,10,0,0
Spd_RF2_120_136_2219,12.37,1,0,29,29,0,16.63,101403,10,0,0
Spd_RF2_120_136_2227,12.45,1,0,30,2,0,17.55,135305,10,0,0
Spd_RF2_120_136_2235,12.55,1,0,30,658,0,17.45,123352,10,0,0
Spd_RF2_120_136_2243,12.51,1,0,30,58,0,17.49,181075,10,0,0
Spd_RF2_120_152_2251,7.36,1,0,24,13,0,16.64,102687,10,0,0
Spd_RF2_120_152_2259,8.1,1,0,26,1,0,17.9,80752,10,0,0
Spd_RF2_120_152_2267,7.74,1,0,25,0,0,17.26,86529,10,0,0
Spd_RF2_120_152_2275,7.97,1,0,22,1,0,14.03,77469,10,0,0
Spd_RF2_120_152_2283,8.32,1,0,23,6,0,14.68,72291,10,0,0
Spd_RF2_120_169_2291,4.29,1,0,20,2,0,15.71,104339,10,0,0
Spd_RF2_120_169_2299,3.28,1,0,20,0,0,16.72,86187,10,0,0
Spd_RF2_120_169_2307,2.95,1,0,18,25,0,15.05,4481,10,0,0
Spd_RF2_120_169_2315,3.94,1,0,21,2,0,17.06,2880,10,0,0
Spd_RF2_120_169_2323,5.32,1,0,21,0,0,15.68,4577,10,0,0
Spd_RF2_120_185_2331,0.88,1,0,15,0,0,14.12,2917,10,0,0
Spd_RF2_120_185_2339,0.85,1,0,18,0,0,17.15,3280,10,0,0
Spd_RF2_120_185_2347,0.9,1,0,17,1,0,16.1,2440,10,0,0
Spd_RF2_120_185_2355,-0.99,1,0,13,2081,8,13.99,2537,10,0,0
Spd_RF2_120_185_2363,1.5,1,0,17,2,0,15.5,4316,10,0,0
Spd_RF2_120_202_2371,-2.95,1,0,14,2220,6,16.95,2957,10,0,0
Spd_RF2_120_202_2379,0.02,1,0,17,10,0,16.98,39742,10,0,0
Spd_RF2_120_202_2387,-2.16,1,0,16,2,0,18.16,43968,10,0,0
Spd_RF2_120_202_2395,-1.56,1,0,13,1,0,14.56,44728,10,0,0
Spd_RF2_120_202_2403,-1.12,1,0,16,0,0,17.12,43606,10,0,0
Spd_RF2_140_157_2611,14.76,1,0,35,7,0,20.24,62610,10,0,0
Spd_RF2_140_157_2619,14.94,1,0,34,4,0,19.06,94849,10,0,0
Spd_RF2_140_157_2627,14.8,1,0,35,4,0,20.2,125572,10,0,0
Spd_RF2_140_157_2635,14.96,1,0,35,20,0,20.04,76721,10,0,0
Spd_RF2_140_157_2643,14.72,1,0,34,1,0,19.28,4019,10,0,0
Spd_RF2_140_175_2651,9.1,1,0,27,1,0,17.9,4251,10,0,0
Spd_RF2_140_175_2659,10.13,1,0,28,9,0,17.87,3945,10,0,0
Spd_RF2_140_175_2667,9.95,1,0,28,1,0,18.05,16864,10,0,0
Spd_RF2_140_175_2675,9.12,1,0,27,8362,1,17.88,49574,10,0,0
Spd_RF2_140_175_2683,9.85,1,0,29,7,0,19.15,55193,10,0,0
Spd_RF2_140_193_2691,5.17,1,0,21,2,0,15.83,2230,10,0,0
Spd_RF2_140_193_2699,5.07,1,0,24,1,0,18.93,3671,10,0,0
Spd_RF2_140_193_2707,5.51,1,0,22,8,0,16.49,2251,10,0,0
Spd_RF2_140_193_2715,5.3,1,0,25,1,0,19.7,48229,10,0,0
Spd_RF2_140_193_2723,3.74,1,0,24,0,0,20.26,61731,10,0,0
Spd_RF2_140_211_2731,1.64,1,0,22,0,0,20.36,7362,10,0,0
Spd_RF2_140_211_2739,2.08,1,0,24,0,0,21.92,70427,10,0,0
Spd_RF2_140_211_2747,2.1,1,0,21,3,0,18.9,49171,10,0,0
Spd_RF2_140_211_2755,1.73,1,0,22,153,1,20.27,1778,10,0,0
Spd_RF2_140_211_2763,2.04,1,0,21,0,0,18.96,1737,10,0,0
Spd_RF2_140_229_2771,-1.36,1,0,17,0,0,18.36,32063,10,0,0
Spd_RF2_140_229_2779,-1.88,1,0,17,7629,2,18.88,34397,10,0,0
Spd_RF2_140_229_2787,-0.79,1,0,19,0,0,19.79,2101,10,0,0
Spd_RF2_140_229_2795,-3.1,1,0,19,755,2,22.1,2397,10,0,0
Spd_RF2_140_229_2803,-1.61,1,0,16,0,0,17.61,13870,10,0,0
Spd_RF2_160_179_3011,17.27,1,0,40,1,0,22.73,74759,10,0,0
Spd_RF2_160_179_3019,17.77,1,0,40,6,0,22.23,83799,10,0,0
Spd_RF2_160_179_3027,17.2,1,0,42,87,0,24.8,67933,10,0,0
Spd_RF2_160_179_3035,17.56,1,0,41,1,0,23.44,4900,10,0,0
Spd_RF2_160_179_3043,17.37,1,0,40,15,0,22.63,105679,10,0,0
Spd_RF2_160_198_3051,12.17,1,0,35,2,0,22.83,78937,10,0,0
Spd_RF2_160_198_3059,11.17,1,0,32,7,0,20.83,3513,10,0,0
Spd_RF2_160_198_3067,11.97,1,0,34,6,0,22.03,52291,10,0,0
Spd_RF2_160_198_3075,11.65,1,0,32,4,0,20.35,62773,10,0,0
Spd_RF2_160_198_3083,12.4,1,0,34,2,0,21.6,2533,10,0,0
Spd_RF2_160_218_3091,6.21,1,0,26,2,0,19.79,2880,10,0,0
Spd_RF2_160_218_3099,7.03,1,0,29,5,0,21.97,1343,10,0,0
Spd_RF2_160_218_3107,5.73,1,0,27,0,0,21.27,2747,10,0,0
Spd_RF2_160_218_3115,6.37,1,0,28,10,0,21.63,43830,10,0,0
Spd_RF2_160_218_3123,6.84,1,0,29,2772,8,22.16,6448,10,0,0
Spd_RF2_160_237_3131,3.56,1,0,27,1,0,23.44,35080,10,0,0
Spd_RF2_160_237_3139,2.81,1,0,23,1,0,20.19,1425,10,0,0
Spd_RF2_160_237_3147,1.78,1,0,25,3,0,23.22,2596,10,0,0
Spd_RF2_160_237_3155,1.87,1,0,24,2,0,22.13,1396,10,0,0
Spd_RF2_160_237_3163,1.72,1,0,26,0,0,24.28,30038,10,0,0
Spd_RF2_160_257_3171,0.12,1,0,24,0,0,23.88,31212,10,0,0
Spd_RF2_160_257_3179,-1.05,1,0,24,1504,0,25.05,40410,10,0,0
Spd_RF2_160_257_3187,-0.79,1,0,22,345,1,22.79,2027,10,0,0
Spd_RF2_160_257_3195,-0.4,1,0,22,0,0,22.4,1344,10,0,0
Spd_RF2_160_257_3203,-1.06,1,0,22,0,0,23.06,2143,10,0,0
Spd_RF2_180_200_3411,20.33,1,0,49,1,0,28.67,3883,10,0,0
Spd_RF2_180_200_3419,20.42,1,0,48,2,0,27.58,25882,10,0,0
Spd_RF2_180_200_3427,20.77,1,0,48,3,0,27.23,4264,10,0,0
Spd_RF2_180_200_3435,20.66,1,0,47,1,0,26.34,23122,10,0,0
Spd_RF2_180_200_3443,19.69,1,0,45,2,0,25.31,5103,10,0,0
Spd_RF2_180_221_3451,12.6,1,0,35,8,0,22.4,2131,10,0,0
Spd_RF2_180_221_3459,14.18,1,0,39,5,0,24.82,41726,10,0,0
Spd_RF2_180_221_3467,13.82,1,0,35,6,0,21.18,81623,10,0,0
Spd_RF2_180_221_3475,13.5,1,0,39,1,0,25.5,61686,10,0,0
Spd_RF2_180_221_3483,14.09,1,0,42,10,0,27.91,2278,10,0,0
Spd_RF2_180_242_3491,7.32,1,0,35,0,0,27.68,1635,10,0,0
