Instance,LB,ILB,TLB,UP,IUP,TUP,ITER,TIME,OPTG,OPTS
input/Spd_RF2_100_114_1811.txt, 11.08333, 1, 0, 26, 12, 0, 45715, 10, 0, 0
input/Spd_RF2_100_114_1819.txt, 10.96667, 1, 0, 24, 4, 0, 49346, 10, 0, 0
input/Spd_RF2_100_114_1827.txt, 10.78333, 1, 0, 24, 5, 0, 55214, 10, 0, 0
input/Spd_RF2_100_114_1835.txt, 10.20000, 1, 0, 23, 3, 0, 94847, 10, 0, 0
input/Spd_RF2_100_114_1843.txt, 10.33333, 1, 0, 25, 0, 0, 121108, 10, 0, 0
input/Spd_RF2_100_129_1851.txt, 6.33333, 1, 0, 18, 23400, 4, 47971, 10, 0, 0
input/Spd_RF2_100_129_1859.txt, 6.28576, 11, 0, 19, 18, 0, 57149, 10, 0, 0
input/Spd_RF2_100_129_1867.txt, 6.40476, 1, 0, 17, 14, 0, 51966, 10, 0, 0
input/Spd_RF2_100_129_1875.txt, 5.73333, 1, 0, 17, 3, 0, 43643, 10, 0, 0
input/Spd_RF2_100_129_1883.txt, 6.12857, 1, 0, 17, 14, 0, 87325, 10, 0, 0
input/Spd_RF2_100_144_1891.txt, 4.28108, 36, 0, 14, 10, 0, 33342, 10, 0, 0
input/Spd_RF2_100_144_1899.txt, 3.19868, 18, 0, 13, 4537, 1, 28484, 10, 0, 0
input/Spd_RF2_100_144_1907.txt, 4.04474, 3, 0, 15, 15, 0, 29087, 10, 0, 0
input/Spd_RF2_100_144_1915.txt, 2.65374, 31, 0, 11, 14, 0, 30213, 10, 0, 0
input/Spd_RF2_100_144_1923.txt, 3.37742, 17, 0, 15, 2887, 0, 33689, 10, 0, 0
input/Spd_RF2_100_159_1931.txt, 1.89488, 38, 0, 10, 1930, 0, 25099, 10, 0, 0
input/Spd_RF2_100_159_1939.txt, 2.82248, 37, 0, 12, 18072, 6, 28203, 10, 0, 0
input/Spd_RF2_100_159_1947.txt, 1.30552, 21, 0, 10, 3081, 2, 14381, 10, 0, 0
input/Spd_RF2_100_159_1955.txt, 2.30988, 37, 0, 10, 71, 0, 29374, 10, 0, 0
input/Spd_RF2_100_159_1963.txt, 1.21002, 15, 0, 13, 436, 0, 20739, 10, 0, 0
input/Spd_RF2_100_174_1971.txt, 0.68480, 28, 0, 9, 29, 0, 12311, 10, 0, 0
input/Spd_RF2_100_174_1979.txt, 1.57044, 52, 0, 9, 22017, 8, 26270, 10, 0, 0
input/Spd_RF2_100_174_1987.txt, 1.95847, 33, 0, 10, 8813, 5, 16761, 10, 0, 0
input/Spd_RF2_100_174_1995.txt, 1.89897, 71, 0, 9, 29, 0, 15979, 10, 0, 0
input/Spd_RF2_100_174_2003.txt, 1.45565, 54, 0, 7, 76, 0, 19768, 10, 0, 0
input/Spd_RF2_120_136_2211.txt, 13.16667, 1, 0, 31, 0, 0, 69507, 10, 0, 0
input/Spd_RF2_120_136_2219.txt, 13.06667, 1, 0, 29, 32, 0, 59088, 10, 0, 0
input/Spd_RF2_120_136_2227.txt, 13.25000, 1, 0, 30, 3, 0, 50856, 10, 0, 0
input/Spd_RF2_120_136_2235.txt, 13.10000, 1, 0, 30, 10, 0, 58390, 10, 0, 0
input/Spd_RF2_120_136_2243.txt, 13.10000, 1, 0, 30, 6, 0, 69871, 10, 0, 0
input/Spd_RF2_120_152_2251.txt, 7.96667, 1, 0, 22, 14, 0, 42577, 10, 0, 0
input/Spd_RF2_120_152_2259.txt, 8.73095, 1, 0, 24, 26, 0, 39967, 10, 0, 0
input/Spd_RF2_120_152_2267.txt, 8.38333, 1, 0, 23, 1179, 0, 34941, 10, 0, 0
input/Spd_RF2_120_152_2275.txt, 8.61667, 1, 0, 22, 1, 0, 38080, 10, 0, 0
input/Spd_RF2_120_152_2283.txt, 8.64048, 1, 0, 24, 1, 0, 19557, 10, 0, 0
input/Spd_RF2_120_169_2291.txt, 5.21800, 13, 0, 19, 14, 0, 21177, 10, 0, 0
input/Spd_RF2_120_169_2299.txt, 5.10086, 13, 0, 19, 258, 0, 18825, 10, 0, 0
input/Spd_RF2_120_169_2307.txt, 4.26621, 21, 0, 16, 12, 0, 37335, 10, 0, 0
input/Spd_RF2_120_169_2315.txt, 4.56943, 3, 0, 19, 8989, 2, 31912, 10, 0, 0
input/Spd_RF2_120_169_2323.txt, 5.86905, 1, 0, 18, 85, 0, 24911, 10, 0, 0
input/Spd_RF2_120_185_2331.txt, 2.97458, 28, 0, 14, 1404, 1, 13771, 10, 0, 0
input/Spd_RF2_120_185_2339.txt, 2.39092, 19, 0, 15, 792, 0, 13083, 10, 0, 0
input/Spd_RF2_120_185_2347.txt, 1.76300, 24, 0, 15, 16171, 7, 20518, 10, 0, 0
input/Spd_RF2_120_185_2355.txt, 1.45838, 38, 0, 12, 199, 0, 19787, 10, 0, 0
input/Spd_RF2_120_185_2363.txt, 2.67252, 21, 0, 14, 16468, 7, 22972, 10, 0, 0
input/Spd_RF2_120_202_2371.txt, 1.84806, 45, 0, 12, 2389, 1, 14512, 10, 0, 0
input/Spd_RF2_120_202_2379.txt, 2.56110, 31, 0, 14, 4373, 3, 14088, 10, 0, 0
input/Spd_RF2_120_202_2387.txt, 2.11188, 34, 0, 12, 54, 0, 12888, 10, 0, 0
input/Spd_RF2_120_202_2395.txt, 1.27184, 33, 0, 11, 48, 0, 11091, 10, 0, 0
input/Spd_RF2_120_202_2403.txt, 1.89448, 39, 0, 14, 51, 0, 13332, 10, 0, 0
input/Spd_RF2_140_157_2611.txt, 15.43333, 1, 0, 35, 5, 0, 46706, 10, 0, 0
input/Spd_RF2_140_157_2619.txt, 15.26667, 1, 0, 34, 28, 0, 56819, 10, 0, 0
input/Spd_RF2_140_157_2627.txt, 15.51667, 1, 0, 36, 0, 0, 53060, 10, 0, 0
input/Spd_RF2_140_157_2635.txt, 15.68333, 1, 0, 35, 12, 0, 57570, 10, 0, 0
input/Spd_RF2_140_157_2643.txt, 15.53333, 1, 0, 34, 1, 0, 30481, 10, 0, 0
input/Spd_RF2_140_175_2651.txt, 9.80000, 1, 0, 25, 11, 0, 36453, 10, 0, 0
input/Spd_RF2_140_175_2659.txt, 10.93333, 1, 0, 29, 24, 0, 38035, 10, 0, 0
input/Spd_RF2_140_175_2667.txt, 10.68333, 1, 0, 28, 7, 0, 32687, 10, 0, 0
input/Spd_RF2_140_175_2675.txt, 9.63810, 1, 0, 27, 3, 0, 26969, 10, 0, 0
input/Spd_RF2_140_175_2683.txt, 10.78810, 1, 0, 29, 1245, 0, 24878, 10, 0, 0
input/Spd_RF2_140_193_2691.txt, 5.96095, 3, 0, 20, 5113, 2, 20949, 10, 0, 0
input/Spd_RF2_140_193_2699.txt, 5.88675, 3, 0, 22, 569, 0, 35489, 10, 0, 0
input/Spd_RF2_140_193_2707.txt, 6.28333, 1, 0, 21, 9, 0, 16943, 10, 0, 0
input/Spd_RF2_140_193_2715.txt, 6.10362, 3, 0, 24, 1, 0, 19002, 10, 0, 0
input/Spd_RF2_140_193_2723.txt, 5.82100, 19, 0, 21, 1071, 0, 20026, 10, 0, 0
input/Spd_RF2_140_211_2731.txt, 4.28967, 32, 0, 17, 5682, 3, 18298, 10, 0, 0
input/Spd_RF2_140_211_2739.txt, 4.67549, 14, 0, 21, 11794, 7, 15352, 10, 0, 0
input/Spd_RF2_140_211_2747.txt, 3.54295, 19, 0, 19, 21, 0, 10888, 10, 0, 0
input/Spd_RF2_140_211_2755.txt, 3.63817, 26, 0, 17, 7945, 7, 10970, 10, 0, 0
input/Spd_RF2_140_211_2763.txt, 3.36137, 18, 0, 18, 11424, 8, 12847, 10, 0, 0
input/Spd_RF2_140_229_2771.txt, 1.55140, 33, 0, 14, 3465, 3, 9025, 10, 0, 0
input/Spd_RF2_140_229_2779.txt, 1.53419, 29, 0, 14, 3216, 3, 9310, 10, 0, 0
input/Spd_RF2_140_229_2787.txt, 3.16879, 45, 0, 14, 1022, 0, 24229, 10, 0, 0
input/Spd_RF2_140_229_2795.txt, 3.25273, 36, 0, 15, 3804, 2, 14891, 10, 0, 0
input/Spd_RF2_140_229_2803.txt, 3.00938, 41, 0, 16, 0, 0, 13024, 10, 0, 0
input/Spd_RF2_160_179_3011.txt, 17.96667, 1, 0, 40, 1, 0, 56958, 10, 0, 0
input/Spd_RF2_160_179_3019.txt, 18.50000, 1, 0, 41, 4, 0, 65997, 10, 0, 0
