Instance,LB,ILB,TLB,UP,IUP,TUP,GAP,ITER,TIME,OPTG,OPTS
Spd_RF2_100_114_1811,23.13,1,0,26,0,0,2.87,331751,10,0,0
Spd_RF2_100_114_1819,20.78,1,0,24,0,0,3.22,23439,10,0,0
Spd_RF2_100_114_1827,21.03,1,0,24,1,0,2.97,170920,10,0,0
Spd_RF2_100_114_1835,20.83,1,0,23,0,0,2.17,272425,10,0,0
Spd_RF2_100_114_1843,19.38,1,0,25,0,0,5.62,174502,10,0,0
Spd_RF2_100_129_1851,13.13,1,0,18,0,0,4.87,111928,10,0,0
Spd_RF2_100_129_1859,11.83,1,0,19,0,0,7.17,214744,10,0,0
Spd_RF2_100_129_1867,11.88,1,0,18,1,0,6.12,145634,10,0,0
Spd_RF2_100_129_1875,13,506,0,17,0,0,4,173680,10,0,0
Spd_RF2_100_129_1883,12,445,0,16,1,0,4,9072,10,0,0
Spd_RF2_100_144_1891,8,438,0,14,0,0,6,82061,10,0,0
Spd_RF2_100_144_1899,7,253,0,14,186,0,7,78620,10,0,0
Spd_RF2_100_144_1907,11,476,0,15,0,0,4,118224,10,0,0
Spd_RF2_100_144_1915,3.01,1,0,12,0,0,8.99,105042,10,0,0
Spd_RF2_100_144_1923,9,600,0,15,0,0,6,88741,10,0,0
Spd_RF2_100_159_1931,3,462,0,13,1,0,10,71746,10,0,0
Spd_RF2_100_159_1939,3,225,0,12,1960,0,9,115143,10,0,0
Spd_RF2_100_159_1947,2,328,0,11,2,0,9,124429,10,0,0
Spd_RF2_100_159_1955,4,223,0,12,0,0,8,95156,10,0,0
Spd_RF2_100_159_1963,6,253,0,14,47954,5,8,93683,10,0,0
Spd_RF2_100_174_1971,5,270,0,11,0,0,6,93916,10,0,0
Spd_RF2_100_174_1979,2,245,0,11,2,0,9,84696,10,0,0
Spd_RF2_100_174_1987,5,203,1,13,0,0,8,3027,10,0,0
Spd_RF2_100_174_1995,3,202,1,10,142,0,7,2252,10,0,0
Spd_RF2_100_174_2003,1,530,0,10,86,0,9,76092,10,0,0
Spd_RF2_120_136_2211,27.83,1,0,30,2,0,2.17,139250,10,0,0
Spd_RF2_120_136_2219,25.58,1,0,29,2,0,3.42,161538,10,0,0
Spd_RF2_120_136_2227,24.53,1,0,30,0,0,5.47,242299,10,0,0
Spd_RF2_120_136_2235,26.65,1,0,30,0,0,3.35,11251,10,0,0
Spd_RF2_120_136_2243,26.47,1,0,31,0,0,4.53,8743,10,0,0
Spd_RF2_120_152_2251,17,772,0,22,0,0,5,90989,10,0,0
Spd_RF2_120_152_2259,17.43,1,0,24,0,0,6.57,73433,10,0,0
Spd_RF2_120_152_2267,18,210,0,23,0,0,5,164155,10,0,0
Spd_RF2_120_152_2275,16.27,1,0,21,6,0,4.73,126476,10,0,0
Spd_RF2_120_152_2283,21,332,0,23,1,0,2,80188,10,0,0
Spd_RF2_120_169_2291,11,575,0,19,0,0,8,78384,10,0,0
Spd_RF2_120_169_2299,12,474,0,20,100,0,8,76907,10,0,0
Spd_RF2_120_169_2307,7.3,1,0,17,31,0,9.7,120044,10,0,0
Spd_RF2_120_169_2315,10,372,0,19,0,0,9,131089,10,0,0
Spd_RF2_120_169_2323,13,304,0,19,1,0,6,110351,10,0,0
Spd_RF2_120_185_2331,3.06,1,0,13,0,0,9.94,70168,10,0,0
Spd_RF2_120_185_2339,7,321,0,17,0,0,10,86393,10,0,0
