Instance,LB,ILB,TLB,UP,IUP,TUP,GAP,ITER,TIME,OPTG,OPTS
Spd_RF2_100_114_1811,23.13,1,0,26,405,0,2.87,1754796,10,0,0
Spd_RF2_100_114_1819,20.78,1,0,25,152085,1,4.22,1391636,10,0,0
Spd_RF2_100_114_1827,21.1,6,0,25,147,0,3.9,1558751,10,0,0
Spd_RF2_100_114_1835,20.83,1,0,23,2858,0,2.17,1341762,10,0,0
Spd_RF2_100_114_1843,19.38,1,0,26,15,0,6.62,75488,10,0,0
Spd_RF2_100_129_1851,13.2,17,0,19,34584,0,5.8,1102412,10,0,0
Spd_RF2_100_129_1859,12.15,10,0,21,10,0,8.85,1045942,10,0,0
Spd_RF2_100_129_1867,11.92,3,0,21,3845,0,9.08,1536842,10,0,0
Spd_RF2_100_129_1875,13.01,460446,4,19,251671,2,5.99,1099920,10,0,0
Spd_RF2_100_129_1883,12.13,27,0,18,9540,1,5.87,60458,10,0,0
Spd_RF2_100_144_1891,8.92,35,0,15,211842,2,6.08,816904,10,0,0
Spd_RF2_100_144_1899,7.04,212075,2,16,33961,0,8.96,845002,10,0,0
Spd_RF2_100_144_1907,11.02,660716,8,18,31383,0,6.98,737111,10,0,0
Spd_RF2_100_144_1915,4.29,20,0,15,12772,0,10.71,687773,10,0,0
Spd_RF2_100_144_1923,9.43,31,0,18,8373,2,8.57,46748,10,0,0
Spd_RF2_100_159_1931,3.76,35,0,15,112089,1,11.24,842232,10,0,0
Spd_RF2_100_159_1939,4.31,28,0,17,7,0,12.69,830786,10,0,0
Spd_RF2_100_159_1947,1.95,182686,2,15,451890,5,13.05,842545,10,0,0
Spd_RF2_100_159_1955,4.27,27,0,13,113752,1,8.73,796422,10,0,0
Spd_RF2_100_159_1963,6.14,580230,6,16,385053,4,9.86,834926,10,0,0
Spd_RF2_100_174_1971,4.91,270732,4,14,444540,6,9.09,711318,10,0,0
Spd_RF2_100_174_1979,2.81,39,0,15,138023,1,12.19,788904,10,0,0
Spd_RF2_100_174_1987,4.94,383198,4,16,135591,1,11.06,688249,10,0,0
Spd_RF2_100_174_1995,3.57,51,0,14,10,0,10.43,620187,10,0,0
Spd_RF2_100_174_2003,1.94,54,0,13,3690,0,11.06,719613,10,0,0
Spd_RF2_120_136_2211,27.84,3,0,32,2,0,4.16,1387598,10,0,0
Spd_RF2_120_136_2219,25.58,1,0,31,2,0,5.42,1113828,10,0,0
Spd_RF2_120_136_2227,24.53,1,0,32,0,0,7.47,1630902,10,0,0
Spd_RF2_120_136_2235,27.5,8100,0,32,70,0,4.5,62565,10,0,0
Spd_RF2_120_136_2243,26.49,3,0,33,3,0,6.51,1087150,10,0,0
Spd_RF2_120_152_2251,17.2,813508,8,25,0,0,7.8,930361,10,0,0
Spd_RF2_120_152_2259,17.47,6,0,24,74828,0,6.53,931095,10,0,0
Spd_RF2_120_152_2267,18.31,27,0,25,22446,0,6.69,930689,10,0,0
Spd_RF2_120_152_2275,16.28,3,0,23,4516,0,6.72,50471,10,0,0
Spd_RF2_120_152_2283,21.02,17192,0,25,114598,1,3.98,695699,10,0,0
Spd_RF2_120_169_2291,11.72,28,0,22,2987,0,10.28,37336,10,0,0
Spd_RF2_120_169_2299,12.15,309823,5,21,156856,2,8.85,596406,10,0,0
Spd_RF2_120_169_2307,8.2,25,0,21,2,0,12.8,615290,10,0,0
Spd_RF2_120_169_2315,10.54,35,0,22,76040,0,11.46,791702,10,0,0
Spd_RF2_120_169_2323,13.1,26,0,20,73997,0,6.9,820116,10,0,0
Spd_RF2_120_185_2331,4.55,19,0,17,226005,4,12.45,656763,10,0,0
Spd_RF2_120_185_2339,7.02,179250,2,20,375814,4,12.98,650318,10,0,0
Spd_RF2_120_185_2347,7.22,30,0,19,384145,5,11.78,700813,10,0,0
Spd_RF2_120_185_2355,5,463751,6,17,33928,0,12,678655,10,0,0
Spd_RF2_120_185_2363,8.98,30124,0,17,422815,6,8.02,703380,10,0,0
Spd_RF2_120_202_2371,2.77,30,0,18,17317,0,15.23,486617,10,0,0
Spd_RF2_120_202_2379,5.91,26,0,18,165960,2,12.09,621730,10,0,0
Spd_RF2_120_202_2387,5.94,315325,4,17,440894,6,11.06,639548,10,0,0
Spd_RF2_120_202_2395,3.02,34,0,18,256359,4,14.98,621976,10,0,0
Spd_RF2_120_202_2403,5.96,602688,9,17,281934,4,11.04,635260,10,0,0
Spd_RF2_140_157_2611,30.45,1,0,36,15225,0,5.55,1051276,10,0,0
Spd_RF2_140_157_2619,31.35,1,0,36,1032,0,4.65,933622,10,0,0
Spd_RF2_140_157_2627,29.95,1,0,37,2823,0,7.05,888676,10,0,0
Spd_RF2_140_157_2635,30.07,1,0,37,1,0,6.93,1006417,10,0,0
Spd_RF2_140_157_2643,29.35,1,0,35,20,0,5.65,959233,10,0,0
Spd_RF2_140_175_2651,18,1,0,25,739924,9,7,787093,10,0,0
Spd_RF2_140_175_2659,22.03,1,0,31,247026,4,8.97,718753,10,0,0
Spd_RF2_140_175_2667,20.37,6,0,29,0,0,8.63,717569,10,0,0
Spd_RF2_140_175_2675,20.17,674540,8,29,23182,0,8.83,799883,10,0,0
Spd_RF2_140_175_2683,23.16,30,0,30,6,0,6.84,812716,10,0,0
