Instance,LB,ILB,TLB,UP,IUP,TUP,ITER,TIME,OPTG,OPTS
input/Spd_RF2_100_114_1811.txt, 23.59392, 63139, 2, 27, 225, 0, 244830, 10, 0, 0
input/Spd_RF2_100_114_1819.txt, 20.83383, 71, 0, 25, 3, 0, 287275, 10, 0, 0
input/Spd_RF2_100_114_1827.txt, 21.37556, 25719, 0, 24, 237, 0, 286789, 10, 0, 0
input/Spd_RF2_100_114_1835.txt, 21.21128, 178708, 6, 23, 157, 0, 284822, 10, 0, 0
input/Spd_RF2_100_114_1843.txt, 19.24306, 53, 0, 25, 115, 0, 282649, 10, 0, 0
input/Spd_RF2_100_129_1851.txt, 13.36366, 33, 0, 19, 80692, 3, 258446, 10, 0, 0
input/Spd_RF2_100_129_1859.txt, 12.46707, 20, 0, 20, 34685, 1, 244224, 10, 0, 0
input/Spd_RF2_100_129_1867.txt, 12.11933, 22157, 0, 20, 184, 0, 260602, 10, 0, 0
input/Spd_RF2_100_129_1875.txt, 12.99779, 96514, 3, 18, 59, 0, 244352, 10, 0, 0
input/Spd_RF2_100_129_1883.txt, 12.48019, 65, 0, 17, 169, 0, 256675, 10, 0, 0
input/Spd_RF2_100_144_1891.txt, 9.49974, 71, 0, 17, 1967, 0, 231071, 10, 0, 0
input/Spd_RF2_100_144_1899.txt, 7.54262, 59, 0, 17, 63154, 2, 218214, 10, 0, 0
input/Spd_RF2_100_144_1907.txt, 10.99978, 210731, 9, 17, 213736, 9, 230199, 10, 0, 0
input/Spd_RF2_100_144_1915.txt, 4.41218, 29, 0, 15, 32048, 1, 220296, 10, 0, 0
input/Spd_RF2_100_144_1923.txt, 9.44338, 74, 0, 17, 175398, 7, 229494, 10, 0, 0
input/Spd_RF2_100_159_1931.txt, 3.81953, 46, 0, 14, 50, 0, 208605, 10, 0, 0
input/Spd_RF2_100_159_1939.txt, 4.42123, 36, 0, 16, 3416, 0, 210138, 10, 0, 0
input/Spd_RF2_100_159_1947.txt, 2.17375, 17, 0, 14, 66137, 3, 201884, 10, 0, 0
input/Spd_RF2_100_159_1955.txt, 4.67004, 46, 0, 13, 160742, 8, 198943, 10, 0, 0
input/Spd_RF2_100_159_1963.txt, 6.20704, 58, 0, 16, 88564, 4, 205522, 10, 0, 0
input/Spd_RF2_100_174_1971.txt, 4.94121, 138256, 7, 15, 30912, 1, 182861, 10, 0, 0
input/Spd_RF2_100_174_1979.txt, 2.93515, 46, 0, 15, 70089, 3, 182699, 10, 0, 0
input/Spd_RF2_100_174_1987.txt, 5.06877, 58, 0, 16, 39678, 2, 179799, 10, 0, 0
input/Spd_RF2_100_174_1995.txt, 3.77288, 59, 0, 14, 16, 0, 185520, 10, 0, 0
input/Spd_RF2_100_174_2003.txt, 1.90602, 49, 0, 13, 7940, 0, 183512, 10, 0, 0
input/Spd_RF2_120_136_2211.txt, 28.01508, 257, 0, 31, 11, 0, 245382, 10, 0, 0
input/Spd_RF2_120_136_2219.txt, 25.18106, 59, 0, 30, 28, 0, 242415, 10, 0, 0
input/Spd_RF2_120_136_2227.txt, 24.02048, 43, 0, 30, 80, 0, 241192, 10, 0, 0
input/Spd_RF2_120_136_2235.txt, 27.62734, 168164, 7, 30, 1266, 0, 236101, 10, 0, 0
input/Spd_RF2_120_136_2243.txt, 26.61416, 74, 0, 32, 5, 0, 241951, 10, 0, 0
input/Spd_RF2_120_152_2251.txt, 17.19776, 68453, 3, 24, 12, 0, 206786, 10, 0, 0
input/Spd_RF2_120_152_2259.txt, 17.44115, 38, 0, 24, 136, 0, 216092, 10, 0, 0
input/Spd_RF2_120_152_2267.txt, 18.30927, 163, 0, 24, 90, 0, 208403, 10, 0, 0
input/Spd_RF2_120_152_2275.txt, 16.28270, 39, 0, 22, 78, 0, 215851, 10, 0, 0
input/Spd_RF2_120_152_2283.txt, 21.33228, 211, 0, 26, 8838, 0, 209826, 10, 0, 0
input/Spd_RF2_120_169_2291.txt, 12.07742, 59, 0, 21, 159579, 8, 194560, 10, 0, 0
input/Spd_RF2_120_169_2299.txt, 12.18135, 52, 0, 21, 97312, 5, 185391, 10, 0, 0
input/Spd_RF2_120_169_2307.txt, 8.38438, 44, 0, 20, 75, 0, 198549, 10, 0, 0
input/Spd_RF2_120_169_2315.txt, 11.14545, 62, 0, 22, 70, 0, 191389, 10, 0, 0
input/Spd_RF2_120_169_2323.txt, 13.30494, 192, 0, 20, 182, 0, 190018, 10, 0, 0
input/Spd_RF2_120_185_2331.txt, 4.78535, 22, 0, 18, 23860, 1, 171596, 10, 0, 0
input/Spd_RF2_120_185_2339.txt, 7.10417, 45, 0, 20, 51685, 3, 170105, 10, 0, 0
