Instance,LB,ILB,TLB,UP,IUP,TUP,ITER,TIME,OPTG,OPTS
input/Spd_RF2_100_114_1811.txt, 11.08333, 1, 0, 28, 18, 0, 232564, 10, 0, 0
input/Spd_RF2_100_114_1819.txt, 10.96667, 1, 0, 26, 2, 0, 283411, 10, 0, 0
input/Spd_RF2_100_114_1827.txt, 10.78333, 1, 0, 25, 5290, 0, 279517, 10, 0, 0
input/Spd_RF2_100_114_1835.txt, 10.20000, 1, 0, 24, 12, 0, 279363, 10, 0, 0
input/Spd_RF2_100_114_1843.txt, 10.33333, 1, 0, 26, 4, 0, 288609, 10, 0, 0
input/Spd_RF2_100_129_1851.txt, 6.33333, 1, 0, 20, 10531, 0, 250713, 10, 0, 0
input/Spd_RF2_100_129_1859.txt, 6.22733, 3, 0, 23, 5052, 0, 244961, 10, 0, 0
input/Spd_RF2_100_129_1867.txt, 6.40476, 1, 0, 20, 1984, 0, 253371, 10, 0, 0
input/Spd_RF2_100_129_1875.txt, 5.73333, 1, 0, 19, 17658, 0, 248796, 10, 0, 0
input/Spd_RF2_100_129_1883.txt, 6.12857, 1, 0, 19, 369, 0, 251044, 10, 0, 0
input/Spd_RF2_100_144_1891.txt, 4.04751, 32, 0, 18, 47187, 2, 219012, 10, 0, 0
input/Spd_RF2_100_144_1899.txt, 2.93040, 17, 0, 19, 20, 0, 218796, 10, 0, 0
input/Spd_RF2_100_144_1907.txt, 4.03333, 1, 0, 18, 221339, 9, 224693, 10, 0, 0
input/Spd_RF2_100_144_1915.txt, 2.48951, 16, 0, 16, 3, 0, 219039, 10, 0, 0
input/Spd_RF2_100_144_1923.txt, 2.99208, 5, 0, 19, 28, 0, 192142, 10, 0, 0
input/Spd_RF2_100_159_1931.txt, 1.75105, 24, 0, 15, 75222, 3, 198828, 10, 0, 0
input/Spd_RF2_100_159_1939.txt, 2.63751, 34, 0, 16, 2970, 0, 201315, 10, 0, 0
input/Spd_RF2_100_159_1947.txt, 0.96818, 14, 0, 15, 75350, 3, 204053, 10, 0, 0
input/Spd_RF2_100_159_1955.txt, 2.25456, 26, 0, 15, 70991, 3, 190877, 10, 0, 0
